child_anonim;group;match;crawling_age;walking_age;babbling_age
1219;Monolinguals1;match1;NA;NA;NA
1241;Monolinguals1;match1;7;NA;7
1250;Monolinguals1;match1;NA;NA;NA
1254;Monolinguals1;match1;NA;NA;NA
1256;Monolinguals1;match1;NA;NA;NA
1259;Monolinguals1;match1;NA;NA;NA
1279;Monolinguals1;match1;NA;NA;NA
1281;Monolinguals1;match1;12;18;13
1285;Monolinguals1;match1;NA;NA;NA
1398;Monolinguals1;match1;NA;NA;NA
1411;Monolinguals1;match1;6;13;11
1425;Monolinguals1;match1;6;11;5
1436;Monolinguals1;match1;NA;NA;NA
1449;Monolinguals1;match1;NA;NA;NA
1473;Monolinguals1;match1;NA;NA;NA
1504;Monolinguals1;match1;NA;NA;NA
1535;Monolinguals1;match1;NA;NA;NA
1545;Monolinguals1;match1;7;13;5
1557;Monolinguals1;match1;NA;NA;NA
1559;Monolinguals1;match1;9;NA;NA
1599;Monolinguals1;match1;NA;NA;NA
1620;Monolinguals1;match1;NA;NA;NA
1655;Monolinguals1;match1;NA;NA;NA
1669;Monolinguals1;match1;9;12;5
1673;Monolinguals1;match1;NA;NA;NA
1675;Monolinguals1;match1;NA;NA;NA
1681;Monolinguals1;match1;NA;NA;NA
1688;Monolinguals1;match1;7;NA;NA
1702;Monolinguals1;match1;NA;NA;NA
1706;Monolinguals1;match1;NA;NA;NA
1716;Monolinguals1;match1;NA;NA;NA
1722;Monolinguals1;match1;NA;NA;NA
1729;Monolinguals1;match1;NA;NA;NA
1744;Monolinguals1;match1;NA;NA;NA
1752;Monolinguals1;match1;NA;NA;NA
1773;Monolinguals1;match1;NA;NA;NA
1778;Monolinguals1;match1;8;13;6
1790;Monolinguals1;match1;NA;NA;NA
1802;Monolinguals1;match1;NA;NA;NA
1816;Monolinguals1;match1;NA;NA;NA
1823;Monolinguals1;match1;NA;NA;NA
1838;Monolinguals1;match1;NA;NA;NA
1840;Monolinguals1;match1;NA;NA;NA
1842;Monolinguals1;match1;NA;NA;NA
1854;Monolinguals1;match1;NA;NA;NA
1876;Monolinguals1;match1;NA;NA;NA
1884;Monolinguals1;match1;NA;NA;NA
1891;Monolinguals1;match1;NA;NA;NA
1896;Monolinguals1;match1;NA;NA;NA
1903;Monolinguals1;match1;NA;NA;NA
1906;Monolinguals1;match1;NA;NA;NA
1922;Monolinguals1;match1;NA;NA;NA
1923;Monolinguals1;match1;NA;NA;NA
1935;Monolinguals1;match1;NA;NA;NA
1944;Monolinguals1;match1;NA;NA;NA
1956;Monolinguals1;match1;NA;NA;NA
